hotel_name,locality,price,rating,score,review,link
Odyssey Luxury Apartments - Back Up Generator,"Sandton, Johannesburg","R 2,612",Review score,6.8,"3,040 reviews",https://www.booking.com/hotel/za/odyssey.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=227404401_99308183_0_2_0_417435&highlighted_blocks=227404401_99308183_0_2_0_417435&matching_block_id=227404401_99308183_0_2_0_417435&sr_pri_blocks=227404401_99308183_0_2_0_417435_261225&from=searchresults
The Catalyst Apartment Hotel by NEWMARK,"Sandton, Johannesburg","R 6,160",Fabulous,8.6,"6,224 reviews",https://www.booking.com/hotel/za/the-catalyst-newmark-hotels.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=719815602_347364773_2_42_0_253616&highlighted_blocks=719815602_347364773_2_42_0_253616&matching_block_id=719815602_347364773_2_42_0_253616&sr_pri_blocks=719815602_347364773_2_42_0_253616_616000&from=searchresults
MINT Hotel 84 on Katherine,"Sandton, Johannesburg","R 4,576",Very good,8.2,"4,550 reviews",https://www.booking.com/hotel/za/fresh-apartments-84-on-katherine.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=644913601_387426517_0_42_0&highlighted_blocks=644913601_387426517_0_42_0&matching_block_id=644913601_387426517_0_42_0&sr_pri_blocks=644913601_387426517_0_42_0__457560&from=searchresults
Adinkra Boutique Hotel,"Randburg, Johannesburg","R 4,904",Very good,8.4,26 reviews,https://www.booking.com/hotel/za/adinkra-boutique.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=1346521503_408578822_2_33_0&highlighted_blocks=1346521503_408578822_2_33_0&matching_block_id=1346521503_408578822_2_33_0&sr_pri_blocks=1346521503_408578822_2_33_0__490360&from=searchresults
Upmarket Ultra Modern Sandton Apartment,"Bryanston, Johannesburg","R 7,185",Very good,8.2,121 reviews,https://www.booking.com/hotel/za/upmarket-ultra-modern-sandton-apartment.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=663262501_271899506_4_0_0&highlighted_blocks=663262501_271899506_4_0_0&matching_block_id=663262501_271899506_4_0_0&sr_pri_blocks=663262501_271899506_4_0_0__718500&from=searchresults
Mercure Johannesburg Randburg,"Randburg, Johannesburg","R 3,200",Good,7.4,787 reviews,https://www.booking.com/hotel/za/mercure-randburg.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=1526903_335361831_2_42_0&highlighted_blocks=1526903_335361831_2_42_0&matching_block_id=1526903_335361831_2_42_0&sr_pri_blocks=1526903_335361831_2_42_0__320000&from=searchresults
MINT Express Sandton View,"Sandton, Johannesburg","R 3,232",Good,7.2,"4,499 reviews",https://www.booking.com/hotel/za/mint-express-sandton-view.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=690911201_389892350_2_34_0&highlighted_blocks=690911201_389892350_2_34_0&matching_block_id=690911201_389892350_2_34_0&sr_pri_blocks=690911201_389892350_2_34_0__323200&from=searchresults
The Nicol Hotel and Apartments,"Bedfordview, Johannesburg","R 3,293",Very good,8.3,"2,978 reviews",https://www.booking.com/hotel/za/the-nicol-and-apartments.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=149768602_0_2_1_0&highlighted_blocks=149768602_0_2_1_0&matching_block_id=149768602_0_2_1_0&sr_pri_blocks=149768602_0_2_1_0__329310&from=searchresults
116 Illovo Mews Studio,"Sandton, Johannesburg","R 2,735",Very good,8.1,12 reviews,https://www.booking.com/hotel/za/116-illovo-mews-studio.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=592893301_232411863_0_0_0&highlighted_blocks=592893301_232411863_0_0_0&matching_block_id=592893301_232411863_0_0_0&sr_pri_blocks=592893301_232411863_0_0_0__273537&from=searchresults
Holiday Inn Johannesburg-Rosebank by IHG,"Rosebank, Johannesburg (Rosebank)","R 7,128",Very good,8.5,"1,470 reviews",https://www.booking.com/hotel/za/holiday-inn-johannesburg-rosebank.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=25787308_244931387_2_41_0&highlighted_blocks=25787308_244931387_2_41_0&matching_block_id=25787308_244931387_2_41_0&sr_pri_blocks=25787308_244931387_2_41_0__712800&from=searchresults
Palmar Hotel,Johannesburg,"R 2,274",Good,7.8,399 reviews,https://www.booking.com/hotel/za/palmar.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=317031402_113881791_2_0_0&highlighted_blocks=317031402_113881791_2_0_0&matching_block_id=317031402_113881791_2_0_0&sr_pri_blocks=317031402_113881791_2_0_0__227430&from=searchresults
Holiday Inn Express Sandton-Woodmead by IHG,Johannesburg,"R 4,499",Very good,8.2,"2,776 reviews",https://www.booking.com/hotel/za/holiday-inn-express-woodmead.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=1868110_95440083_3_1_0&highlighted_blocks=1868110_95440083_3_1_0&matching_block_id=1868110_95440083_3_1_0&sr_pri_blocks=1868110_95440083_3_1_0__449886&from=searchresults
Hydro Park Residences in Sandton WITH GENERATOR,"Sandton, Johannesburg","R 3,931",Good,7.0,727 reviews,https://www.booking.com/hotel/za/hydro-sandton-apartments-sandton.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=812924707_388619746_2_0_0_443073&highlighted_blocks=812924707_388619746_2_0_0_443073&matching_block_id=812924707_388619746_2_0_0_443073&sr_pri_blocks=812924707_388619746_2_0_0_443073_393110&from=searchresults
Radisson Hotel and Convention Centre OR Tambo Airport,Johannesburg,"R 6,500",Very good,8.3,"2,779 reviews",https://www.booking.com/hotel/za/radisson-convention-centre-johannesburg-or-tambo.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=678513407_277114312_2_42_0_429150&highlighted_blocks=678513407_277114312_2_42_0_429150&matching_block_id=678513407_277114312_2_42_0_429150&sr_pri_blocks=678513407_277114312_2_42_0_429150_650000&from=searchresults
Hotel Sky Sandton,"Sandton, Johannesburg","R 6,086",Very good,8.0,"9,490 reviews",https://www.booking.com/hotel/za/sky-sandton.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=634856011_410964911_2_1_0_865450&highlighted_blocks=634856011_410964911_2_1_0_865450&matching_block_id=634856011_410964911_2_1_0_865450&sr_pri_blocks=634856011_410964911_2_1_0_865450_608580&from=searchresults
